id,type,location,area,bedroom,bathroom,garage,condominium,price,latitude,longitude
2537753632,Apartamento,"Rua Prisciliana Duarte de Almeida, 432 - Santa Dorotéia, Pouso Alegre - MG",145,3,3,2,,R$ 950.000,-20.014344,-45.985002
2537754562,Apartamento,"Rua Izaltino Rezende - Santa Rita, Pouso Alegre - MG",115,3,2,2,,R$ 380.000,-22.223582,-45.934907
2537753106,Casa,"Rua Doutor Breno Coutinho, 25 - Reserva de Santa Barbara, Pouso Alegre - MG",360,3,3,5,,R$ 2.100.000,-22.223582,-45.934907
2536395988,Apartamento,"Rua Branca Bustamante Stephan, 0 - Residencial Santa Rita, Pouso Alegre - MG",70,2,2,2,,R$ 180.000,-22.223582,-45.934907
2537755006,Apartamento,"Avenida Alberto de Barros Cobra, 25 - Alberto de Barros Cobra, Pouso Alegre - MG",270,3,5,4,,R$ 2.200.000,-22.228601,-45.930126
2537754713,Casa,"Rua Angelina Botelhos Leone, 10 - Parque Real, Pouso Alegre - MG",200,3,3,2,,R$ 360.000,-22.223582,-45.934907
2537755010,Apartamento,"Avenida Gonçalo Benedito Coelho, 50 - Centro, Pouso Alegre - MG",86,3,2,2,,R$ 520.000,-22.223582,-45.934907
2537753107,Apartamento,"Rua Anna Maria Beraldo, 100 - Residencial Santa Rita, Pouso Alegre - MG",66,2,2,,,R$ 250.000,-22.223582,-45.934907
2535046196,Apartamento,"Residencial Santa Rita, Pouso Alegre - MG",150,3,2,2,,R$ 400.000,-22.223582,-45.934907
2496233677,CHÁCARAS,"Rodovia Capitão Bardoino, 113 - Rosa Mendes, Pinhalzinho - SP",1000,,,,,"A partir de
                    R$ 68.000",-22.732133,-46.569437
2537754716,Apartamento,"Avenida Beata de Paula, 524 - Fatima, Pouso Alegre - MG",100,3,2,2,,R$ 980.000,-22.223582,-45.934907
2537755375,Apartamento,"Rua Lauro Nunes de Oliveira, 40 - Santa Dorotéia, Pouso Alegre - MG",103,3,2,,R$ 520,R$ 750.000,-22.219499,-45.927337
2537754560,Casa,"Avenida José Aurélio Garcia, 98 - Colina de Santa Barbara, Pouso Alegre - MG",306,3,4,4,,R$ 1.300.000,-22.227504,-45.950274
2537754561,Apartamento,"Rua Lauro Nunes de Oliveira, 200 - Santa Dorotéia, Pouso Alegre - MG",120,3,3,2,,R$ 725.000,-22.219499,-45.927337
2537753398,Apartamento,"Rua Paulo Henrique de Oliveira, 201 - Guanabara, Pouso Alegre - MG",75,2,2,1,,R$ 390.000,-22.223582,-45.934907
2518172373,Lote/Terreno,"Avenida Sebastião Mariosa, 100 - Gran Royalle Pouso Alegre, Pouso Alegre - MG",1000,,,,R$ 450,R$ 190.000,-22.223582,-45.934907
2516347939,Portal,"Avenida Manoel Augusto da Silva, 615 - Ind JK, Varginha - MG",48,2,1,,,,-21.584878,-45.452683
2536394636,Apartamento,"Rua Anna Maria Beraldo, 0 - Residencial Santa Rita, Pouso Alegre - MG",65,2,2,1,,R$ 249.000,-22.223582,-45.934907
2537527590,Casa,"Bela Vista, Pouso Alegre - MG",84,2,2,1,,R$ 190.000,-22.05,-46.15
2535084290,Casa,"São Carlos, Pouso Alegre - MG",105,3,2,1,,R$ 320.000,-22.223582,-45.934907
2537937610,Apartamento,"Rua Marcos Arlindo Ribeiro - Residencial Parque dos Fontes, Pouso Alegre - MG",70,2,1,1,,R$ 270.000,-22.223582,-45.934907
2537192874,Fazenda/Sítio/Chácara,"Rodovia Fernão Dias - BR 381, 0 - Cruz Alta, Pouso Alegre - MG",0,2,2,7,,R$ 250.000,-22.223582,-45.934907
2537755002,Casa,"Rua Jatobá, 198 - Parque Ibira II, Pouso Alegre - MG",600,4,6,3,,R$ 2.400.000,-18.834598,-41.965015
2457352731,Residencial,"Rua Cônego João Antonio da Costa Bueno, 390 - Santana, Pindamonhangaba - SP",39,2,1,1,,R$ 155.990,-22.955265,-45.455919
2537755011,Casa,"Rua Joaquim Fagundes, 102 - Fatima, Pouso Alegre - MG",323,7,4,4,,R$ 1.200.000,-22.223582,-45.934907
2537527591,Lote/Terreno,"Pão de Açucar, Pouso Alegre - MG",300,,,,,R$ 110.000,-9.743095,-37.432672
2538264878,Casa,"Parque Real, Pouso Alegre - MG",70,3,2,1,,R$ 220.000,-22.223582,-45.934907
2537753395,Casa,"Rua Maria de Fátima Campos, 15 - Pousada dos Campos, Pouso Alegre - MG",170,4,3,2,,R$ 1.200.000,-22.223582,-45.934907
2536452229,Apartamento,"Santa Rita, Pouso Alegre - MG",65,2,2,1,,R$ 260.000,-22.223582,-45.934907
2537528493,Apartamento,"Pão de Açucar, Pouso Alegre - MG",45,2,1,1,,R$ 150.000,-9.743095,-37.432672
2538463134,Residencial,"Rua Imperatriz Leopoldina, 129 - Loteamento Jardim Ana Maria, Pindamonhangaba - SP",39,2,1,1,,R$ 147.490,-22.955265,-45.455919
2518925296,Casa,"Avenida Moisés Lopes, 45 - Francisca Augusta Rios, Pouso Alegre - MG",100,2,1,1,,R$ 285.000,-22.258217,-45.930035
2537754553,Apartamento,"Avenida Duque de Caxias, 9 - Centro, Pouso Alegre - MG",244,3,3,2,,R$ 700.000,-22.223582,-45.934907
2537755285,Apartamento,"Rua Benedita Rezende de Faria, 6 - Cidade Vergani, Pouso Alegre - MG",56,2,1,1,,R$ 149.000,-22.223582,-45.934907
2514580522,Casa,"Avenida Moisés Lopes, 45 - Francisca Augusta Rios, Pouso Alegre - MG",90,3,2,1,,R$ 210.000,-22.258217,-45.930035
2537753394,Casa,"Rua Jacy Florence Meyer Fernandes, 130 - Residencial Nossa Senhora do Pilar, Pouso Alegre - MG",240,3,3,4,,R$ 1.050.000,-22.223582,-45.934907
2537755003,Casa,"Rua Euclides Nunes de Oliveira, 550 - Pousada dos Campos, Pouso Alegre - MG",500,4,5,6,,R$ 1.800.000,-22.223582,-45.934907
2521386510,Terreno,"Rua Quatro, 0 - Parque Sao Jorge, Taubaté - SP",1205,,,,,R$ 5.108.950,-23.036001,-45.54607
2537754557,Apartamento,"Rua Dom Nery, 11 - Centro, Pouso Alegre - MG",118,3,2,1,,R$ 600.000,-22.231665,-45.936149
2537755009,Casa,"Rodovia JK - BR 459, 520 - Cantagalo, Pouso Alegre - MG",214,3,3,2,R$ 430,R$ 800.000,-22.5959,-45.6852
2537754556,Casa,"Rua Serra da Boa Esperança - Residencial Serra Morena, Pouso Alegre - MG",140,3,2,4,,R$ 650.000,-22.223582,-45.934907
2537754558,Casa,"Rua Benone Ferreira da Costa, 25 - Residencial Nossa Senhora do Pilar II, Pouso Alegre - MG",200,2,2,2,,R$ 1.100.000,-22.223582,-45.934907
2524457102,Casa,"Avenida Moisés Lopes, 45 - Francisca Augusta Rios, Pouso Alegre - MG",100,2,1,1,,R$ 195.000,-22.258217,-45.930035
