type,area,bedroom,bathroom,garage,latitude,longitude,bathroom_per_bedroom,price
Apartamento,82.0,2.0,2.0,1.0,-23.519116,-46.406946999999995,1.0,287000.0
Apartamento,153.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,600000.0
Casa,116.0,2.0,1.0,2.0,-30.067673,-51.235046999999994,0.5,320000.0
Apartamento,55.0,1.0,1.0,,-21.808695999999998,-46.576769,1.0,135000.0
Apartamento,176.0,3.0,1.0,4.0,-21.808695999999998,-46.576769,0.3333333333333333,985000.0
Casa,140.0,3.0,3.0,2.0,-22.118814999999998,-46.683995,1.0,750000.0
Apartamento,136.0,4.0,1.0,2.0,-22.118814999999998,-46.683995,0.25,600000.0
Casa,116.0,3.0,3.0,3.0,-22.995627,-43.257154,1.0,480000.0
Casa,78.0,2.0,1.0,1.0,-22.118814999999998,-46.683995,0.5,299000.0
Apartamento,103.0,2.0,3.0,2.0,-22.118814999999998,-46.683995,1.5,330000.0
Casa,120.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,700000.0
Apartamento,154.0,3.0,2.0,2.0,-21.808695999999998,-46.576769,0.6666666666666666,1508000.0
Apartamento,132.0,3.0,3.0,2.0,-23.519116,-46.406946999999995,1.0,750000.0
Apartamento,60.0,2.0,1.0,,-21.808695999999998,-46.576769,0.5,219000.0
